_id,title,text,query
<dbpedia:Jedi>,Jedi,"The Jedi /ˈdʒɛˌdaɪ/ are a fictional and ancient monastic, spiritual, and academic meritocratic organization and the main protagonists in the fictional Star Wars universe, whose origins dates back to circa 25,000 BBY (Before Battle of Yavin; the destruction of the first Death Star). The Jedi Order mostly consists of polymaths: teachers, philosophers, scientists, physicians, diplomats and warriors, who value knowledge and wisdom above nationality.",who are the jedi characters in star wars
<dbpedia:Jürgen_Habermas>,Jürgen Habermas,Jürgen Habermas (/ˈjɜrɡən/ or /ˈjʊərɡən ˈhɑːbərmɑːs/; German: [ˈjʏrɡn̩ ˈhaːbɐmaːs]; born 18 June 1929) is a German sociologist and philosopher in the tradition of critical theory and pragmatism. He is perhaps best known for his theories on communicative rationality and the public sphere.,is habermas a philosopher
"<dbpedia:Joachim_I_Nestor,_Elector_of_Brandenburg>","Joachim I Nestor, Elector of Brandenburg","Joachim I Nestor (21 February 1484 – 11 July 1535) was a Prince-elector of the Margraviate of Brandenburg (1499–1535), the fifth member of the House of Hohenzollern.  His nickname was taken from King Nestor of Greek mythology.",who was joachim i nestor
<dbpedia:James_Heckman>,James Heckman,"James Joseph Heckman (born 19 April 1944) is an American economist and Nobel laureate. He is the Henry Schultz Distinguished Service Professor of Economics and director at the Center for the Economics of Human Development at the University of Chicago, and a senior research fellow at the American Bar Foundation.Heckman shared the Nobel Memorial Prize in Economics in 2000 with Daniel McFadden for his pioneering work in econometrics and microeconomics.",when was james heckman born
<dbpedia:John_von_Neumann_Theory_Prize>,John von Neumann Theory Prize,"The John von Neumann Theory Prize of the Institute for Operations Research and the Management Sciences (INFORMS)is awarded annually to an individual (or sometimes a group) who has made fundamental and sustained contributions to theory in operations research and the management sciences. It is regarded the ""Nobel Prize"" of the field.The Prize named after mathematician John von Neumann is awarded for a body of work, rather than a single piece.",john von neumann theory prize
<dbpedia:Jewish_views_on_marriage>,Jewish views on marriage,"In traditional Judaism, marriage is viewed as a contractual bond commanded by God in which a man and a woman come together to create a relationship in which God is directly involved. (Deut. 24:1) Though procreation is not the sole purpose, a Jewish marriage is traditionally expected to fulfill the commandment to have children. (Gen.",why would a judaism marriage be considered marriage
<dbpedia:Dan_Quayle>,Dan Quayle,"James Danforth ""Dan"" Quayle (born February 4, 1947) is an American politician.He was the 44th Vice President of the United States, serving during the term of President George H. W. Bush (1989–93). He was also a U.S. Representative (1977–81) and U.S. Senator (1981–89) from the state of Indiana.Quayle was born in Indianapolis and spent most of his childhood living in Arizona. He married Marilyn Tucker in 1972 and obtained his J.D. from Indiana University Robert H. McKinney School of Law in 1974.",what kind of politician is dan quayle
<dbpedia:John_W._Campbell>,John W. Campbell,"John Wood Campbell, Jr. (June 8, 1910 – July 11, 1971) was an American science fiction writer and editor.",what was john w campbell's birthday
<dbpedia:James_Blaylock>,James Blaylock,"James Paul Blaylock (born September 20, 1950) is an American fantasy author.  He is noted for a distinctive, humorous style, as well as being one of the pioneers of the steampunk genre of science fiction.  Blaylock has cited Jules Verne, H. G. Wells, Robert Louis Stevenson, Arthur Conan Doyle and Charles Dickens as his inspirations.He was born in Long Beach, California; studied English at California State University, Fullerton, receiving an M.A.",who is james blaylock
<dbpedia:Jacob_Abbott>,Jacob Abbott,"Jacob Abbott (November 14, 1803 – October 31, 1879) was an American writer of children's books.",who is jacob abbott
<dbpedia:Joe_Orton>,Joe Orton,"John Kingsley ""Joe"" Orton (1 January 1933 – 9 August 1967) was an English playwright and author. His public career was short but prolific, lasting from 1964 until his death three years later.  During this brief period he shocked, outraged, and amused audiences with his scandalous black comedies. The adjective Ortonesque is sometimes used to refer to work characterised by a similarly dark yet farcical cynicism.",what years did joe orton die
<dbpedia:Just_another_Perl_hacker>,Just another Perl hacker,"Just another Perl hacker, or JAPH, typically refers to a Perl program which prints ""Just another Perl hacker,"" (the comma is canonical but is occasionally omitted).  Short JAPH programs are often used as signatures in online forums, or as T-shirt designs.  The phrase or acronym is also occasionally used (without code) for a signature.JAPH programs are classically done using extremely obfuscated methods, in the spirit of the Obfuscated C Contest.",what is the term just another perl hacker
<dbpedia:John_Paul_Jones>,John Paul Jones,"John Paul Jones (July 6, 1747 – July 18, 1792) was a Scottish American sailor and the United States' first well-known naval fighter in the American Revolutionary War. Although he made both friends  and enemies among America's political elites, his actions in British waters during the Revolution earned him an international reputation which persists to this day. As such, he is sometimes referred to as the ""Father of the United States Navy"" (an epithet he shares with John Barry).",who was john paul jones?
<dbpedia:James_Tobin>,James Tobin,"James Tobin (March 5, 1918 – March 11, 2002) was an American economist who served on the Council of Economic Advisers and the  Board of Governors of the Federal Reserve System, and taught at Harvard and Yale Universities. He developed the ideas of Keynesian economics, and advocated government intervention to stabilize output and avoid recessions.  His academic work included pioneering contributions to the study of investment, monetary and fiscal policy and financial markets.",who is james tobin
<dbpedia:Jean_Richard>,Jean Richard,"Jean Richard (18 April 1921 in Bessines, Deux-Sevres – 12 December 2001 in Senlis, Oise) was a French actor, comedian, and circus entrepreneur. He is most remembered for his role as Georges Simenon's Maigret on the eponymous French television series, which he played for more than twenty years, and for his circus activities.",who is jean richard
<dbpedia:Joint_Interoperability_of_Tactical_Command_and_Control_Systems>,Joint Interoperability of Tactical Command and Control Systems,Joint Interoperability of Tactical Command and Control Systems or JINTACCS is a United States military program for the development and maintenance of tactical information exchange configuration items (CIs) and operational procedures.,what is jitaccs
<dbpedia:Jalalabad>,Jalalabad,"Jalalabad (Pashto/Persian: جلال آباد Jalālābād), formerly called Adina Pur (Pushto:آدينه پور) as documented by the 7th century Hsüan-tsang, is a city in eastern Afghanistan. Located at the junction of the Kabul River and Kunar River near the Laghman valley, Jalalabad is the capital of Nangarhar province. It is linked by approximately 155 kilometres (95 mi) of highway with Kabul to the west.",what is ajalalabad
<dbpedia:Julian_Lennon>,Julian Lennon,"John Charles Julian Lennon (born 8 April 1963) is a British musician and photographer. He is the first child of John Lennon to his first wife Cynthia. The Beatles' manager, Brian Epstein, was his godfather. He has a younger half-brother, Sean Lennon. Lennon was named after his paternal grandmother, Julia Lennon.Lennon was the direct inspiration for three Beatles' songs: ""Lucy in the Sky with Diamonds"", ""Hey Jude"" and ""Good Night"".",who is julian lennon's wife
<dbpedia:FIFA_World_Cup_Trophy>,FIFA World Cup Trophy,The World Cup is a gold trophy that is awarded to the winners of the FIFA World Cup association football tournament.,what is a world cup
<dbpedia:Jan_Borukowski>,Jan Borukowski,"Jan Borukowski of Bielin (1524–1584) was the Bishopof Przemyśl, and was the royal secretary of Poland from 1553. In1569, he signed the act of annexation of Podlaskie, Volhynia and Kiev to the kingdom during Sejm in Lublin.",who is jan borukowski
<dbpedia:Joel_Marangella>,Joel Marangella,"Joel Marangella is an American oboist who has performed in concert with many of the world's leading orchestras. A founding member of the Speculum Musicae, he was the principal oboist for the West Australian Symphony Orchestra, and a founding member of the New Music Ensemble.",who is joel marangella
<dbpedia:John_Pople>,John Pople,"Sir John Anthony Pople, KBE FRS (31 October 1925 – 15 March 2004) was a theoretical chemist who was awarded the Nobel Prize in Chemistry with Walter Kohn  in 1998 for his development of computational methods in quantum chemistry.",who is john pople
<dbpedia:John_Frankenheimer>,John Frankenheimer,"John Michael Frankenheimer (February 19, 1930 – July 6, 2002) was an American film and television director known for social dramas and action/suspense films.",who is john frankenheimer
<dbpedia:J._E._B._Stuart>,J. E. B. Stuart,"James Ewell Brown ""Jeb"" Stuart (February 6, 1833 – May 12, 1864) was a United States Army officer from the U.S. state of Virginia who later became a Confederate States Army general during the American Civil War. He was known to his friends as ""Jeb"", from the initials of his given names. Stuart was a cavalry commander known for his mastery of reconnaissance and the use of cavalry in support of offensive operations.",who was jeb stuart
<dbpedia:Jerry_Falwell>,Jerry Falwell,"Jerry Lamon Falwell, Sr. (August 11, 1933 – May 15, 2007) was an American evangelical Southern Baptist pastor, televangelist, and a conservative political commentator. He was known for his stance against homosexuality.  He was the founding pastor of the Thomas Road Baptist Church, a megachurch in Lynchburg, Virginia. He founded Lynchburg Christian Academy (now Liberty Christian Academy) in 1967 and Liberty University in 1971 and co-founded the Moral Majority in 1979.",who is jerry falwell
<dbpedia:Jimmy_Carter>,Jimmy Carter,"James Earl Carter, Jr. (born October 1, 1924) is an American politician and author who served as the 39th President of the United States from 1977 to 1981. He was awarded the 2002 Nobel Peace Prize for his work with the Carter Center.Carter, a Democrat raised in rural Georgia, was a peanut farmer who served two terms as a Georgia State Senator, from 1963 to 1967, and one as the Governor of Georgia, from 1971 to 1975.",what kind of president did gary carter
<dbpedia:Jeroboam_II>,Jeroboam II,"Jeroboam II (Hebrew: ירבעם השני or יָרָבְעָם‎; Greek: Ιεροβοάμ; Latin: Jeroboam) was the son and successor of Jehoash, (alternatively spelled Joash), and the fourteenth king of the ancient Kingdom of Israel, over which he ruled for forty-one years. His reign was contemporary with those of Amaziah (2 Kings 14:23) and Uzziah (15:1), kings of Judah.",who is jeroboam
<dbpedia:Jacob_Grimm>,Jacob Grimm,"Jacob Ludwig Carl Grimm (4 January 1785 – 20 September 1863) was a German philologist, jurist and mythologist. He is known as the discoverer of Grimm's law (linguistics), the author (with his brother Wilhelm) of the monumental Deutsches Wörterbuch, the author of Deutsche Mythologie and, more popularly, as one of the Brothers Grimm, as the editor of Grimm's Fairy Tales.",who is jacob grimm
<dbpedia:John_Belushi>,John Belushi,"John Adam Belushi (/bəˈluːʃi/; January 24, 1949 – March 5, 1982) was an American comedian, actor, and musician.",who is john belushi
<dbpedia:Joseph_Gurney_Cannon>,Joseph Gurney Cannon,"Joseph Gurney Cannon (May 7, 1836 – November 12, 1926) was a United States politician from Illinois and leader of the Republican Party.  Cannon served as Speaker of the United States House of Representatives from 1903 to 1911, and many consider him to be the most dominant Speaker in United States history, with such control over the House that he could often control debate.",who was republican man who ruled house of representatives?
<dbpedia:Just_intonation>,Just intonation,"In music, just intonation (sometimes abbreviated as JI) or pure intonation is any musical tuning in which the frequencies of notes are related by ratios of small whole numbers. Any interval tuned in this way is called a pure or just interval. The two notes in any just interval are members of the same harmonic series. Frequency ratios involving large integers such as 1024:927 are not generally said to be justly tuned.",what is just intonation
<dbpedia:Jet_stream>,Jet stream,"Jet streams are fast flowing, narrow air currents found in the atmosphere of some planets, including Earth. The main jet streams are located near the altitude of the tropopause. The major jet streams on Earth are westerly winds (flowing west to east). Their paths typically have a meandering shape; jet streams may start, stop, split into two or more parts, combine into one stream, or flow in various directions including the opposite direction of most of the jet.",where are jet streams located
<dbpedia:John_Engler>,John Engler,"John Mathias Engler (born October 12, 1948) is an American politician and member of the Republican Party who served as the 46th Governor of Michigan from 1991 to 2003.Engler has spent most of his adult life in government. He was serving in the Michigan Senate when he enrolled at Thomas M. Cooley Law School, and graduated with a Juris Doctor degree, having served as a Michigan State Senator since 1979.",who is john engler
<dbpedia:Justin_Martyr>,Justin Martyr,"Justin Martyr, also known as Saint Justin (100 – 165 AD), was an early Christian apologist, and is regarded as the foremost interpreter of the theory of the Logos in the 2nd century. He was martyred, alongside some of his students, and is considered a saint by the Roman Catholic Church, the Anglican Church, and the Eastern Orthodox Church.Most of his works are lost, but two apologies and a dialogue did survive.",who is justin matthew
<dbpedia:John_Climacus>,John Climacus,"Saint John Climacus (Greek: Ἰωάννης τῆς Κλίμακος; Latin: Ioannes Climacus), also known as John of the Ladder, John Scholasticus and John Sinaites, was a 7th-century Christian monk at the monastery on Mount Sinai. He is revered as a saint by the Roman Catholic, Oriental Orthodox, Eastern Orthodox and Eastern Catholic churches.",who is john climacus
<dbpedia:Judith_of_Poland>,Judith of Poland,"Judith of Poland (Polish: Judyta Bolesławówna, Hungarian: Judit lengyel hercegnő, German: Judith von Polen; b. c. 1130/35 – died 8 July 1171/75), was a Polish princess member of the House of Piast and by marriage Margravine of Brandenburg.She was the daughter of Bolesław III Wrymouth, Duke of Poland, by his second wife Salomea, daughter of Henry, Count of Berg. She was probably named after either her paternal grandmother, Judith of Bohemia or her older half-sister, Princess consort of Murom.",what kind of a princess was judita of poland
<dbpedia:Java_coffee>,Java coffee,"Java coffee refers to coffee beans produced in the Indonesian island of Java. The Indonesian phrase Kopi Jawa refers not only to the origin of the coffee, but is used to distinguish a style of strong, black, and very sweet coffee. In some countries ""Java"" can refer to coffee in general.",java coffee meaning
<dbpedia:Jadwiga_of_Poland>,Jadwiga of Poland,"Jadwiga ([jadˈvʲiɡa]), also known as Hedwig (Hungarian: Hedvig; 1373/4 – 17 July 1399), reigned as the first female monarch of the Kingdom of Poland from 1384 to her death. She was the youngest daughter of Louis the Great, King of Hungary and Poland, and his wife, Elizabeth of Bosnia. Jadwiga was a member of the Capetian House of Anjou, but she was even more closely related to the native Piast dynasty of Poland through her ancestors.Her marriage with William of Habsburg was decided in 1375.",who was hedwiga
<dbpedia:John_Radcliffe_(physician)>,John Radcliffe (physician),"Dr John Radcliffe (c. 1652 – 1 November 1714) BA MA(Oxon) MP was an English physician, academic and politician. A number of landmark buildings in Oxford, including the Radcliffe Camera (in Radcliffe Square), the Radcliffe Infirmary, and the Radcliffe Observatory were named after him. The John Radcliffe Hospital, a large tertiary hospital in Headington was also named after him.",how many buildings are in oxford named after john radcliffe
<dbpedia:Jacques_Maroger>,Jacques Maroger,"Jacques Maroger (French pronunciation: ​[maʁoʒe]; 1884–1962) was a painter and the technical director of the Louvre Museum's laboratory in Paris. He devoted his life to understanding the oil-based media of the Old Masters.In 1907, Maroger began to study with Louis Anquetin and worked under his direction until Anquetin's death in 1932.",what was j. jacques maroger famous for
<dbpedia:Janus_kinase>,Janus kinase,"Janus kinase (JAK) is a family of intracellular, nonreceptor tyrosine kinases that transduce cytokine-mediated signals via the JAK-STAT pathway. They were initially named ""just another kinase"" 1 and 2 (since they were just two of a large number of discoveries in a PCR-based screen of kinases,) but were ultimately published as ""Janus kinase"".",what is a janus kinase
<dbpedia:Janusz_Zajdel>,Janusz Zajdel,"Janusz Andrzej Zajdel (15 August 1938 – 19 July 1985) was a prominent Polish science-fiction author, second in popularity in Poland to Stanisław Lem.  His major genres were social-science fiction and dystopia. His main recurring theme involved the gloomy prospects for a space environment into which mankind carried totalitarian ideas and habits: Red Space Republics, or Space Labor Camps, or both. His heroes desperately try to find meaning in the world around them.",who is janusz zajdel
<dbpedia:James_Lovelock>,James Lovelock,"James Ephraim Lovelock, CH, CBE, FRS, PhD (born 26 July 1919) is an independent scientist, environmentalist and futurist who lives in Devon, England. He is best known for proposing the Gaia hypothesis, which postulates that the Earth functions as a self-regulating system.",what was james lovelock known for
<dbpedia:Juan_Fernández_Islands>,Juan Fernández Islands,The Juan Fernández Islands (Spanish: Archipiélago Juan Fernández) are a sparsely inhabited island group reliant on tourism and fishing in the South Pacific Ocean.,where are the juan fernandez islands
<dbpedia:Jakarta>,Jakarta,"Jakarta /dʒəˈkɑrtə/, officially known as the Special Capital Region of Jakarta (Indonesian: Daerah Khusus Ibu Kota Jakarta), is the capital and largest city of Indonesia, (though Jakarta is also a province) and one of the most populous urban agglomerations in the world.Located on the northwest coast of Java, Jakarta is the country's economic, cultural and political centre, and with a population of 9,761,407 as of December 2012, it is the most populous city in Indonesia and in Southeast Asia.",what is indonesian capital
<dbpedia:Julian_(emperor)>,Julian (emperor),"Julian (Latin: Flavius Claudius Iulianus Augustus, Greek: Φλάβιος Κλαύδιος Ἰουλιανὸς Αὔγουστος; 331/332  – 26 June 363), also known as Julian the Apostate, was Roman Emperor from 361 to 363, as well as a notable philosopher and author in Greek.A member of the Constantinian dynasty, Julian became Caesar over the western provinces by order of Constantius II in 355 and in this role campaigned successfully against the Alamanni and Franks.",who was julian
<dbpedia:Jule_Styne>,Jule Styne,"Jule Styne (/ˈdʒuːli staɪn/; December 31, 1905 – September 20, 1994) was a British-born American songwriter especially famous for a series of Broadway musicals, which include several very well known and frequently revived shows.Among his most enduring songs is ""Let It Snow! Let It Snow! Let It Snow!"", co-written with Sammy Cahn in 1945.",who sang let it snow and let it snow
<dbpedia:Jerusalem>,Jerusalem,"Jerusalem (/dʒəˈruːsələm/; Hebrew: יְרוּשָׁלַיִם About this sound Yerushaláyim; Arabic: القُدس‎ About this sound al-Quds), located on a plateau in the Judean Mountains between the Mediterranean and the Dead Sea, is one of the oldest cities in the world. It is considered holy to the three major Abrahamic religions—Judaism, Christianity and Islam.",where is jerusalem located
<dbpedia:Jacob_and_Esau>,Jacob and Esau,"The Book of Genesis speaks of the relationship between Jacob and Esau, focusing on Esau's loss of his birthright to Jacob and the conflict that had spawned between their descendant nations because of Jacob's deception of their aged and blind father, Isaac, in order to receive Esau's birthright/blessing from Isaac.This conflict was paralleled by the affection the parents had for their favored child: ""Now Isaac loved Esau, because he did eat of his venison, and Rebekah loved Jacob."" (Genesis 25:28). @en <http://en.wikipedia.org/wiki/Jacob_and_Esau?oldid=683080656> .
<http://dbpedia.org/resource/John_Rutsey> <http://www.w3.org/2000/01/rdf-schema#comment> John Howard Rutsey (July 23, 1952 – May 11, 2008) was a Canadian drummer, most recognized for being a co-founding member of Rush along with Alex Lifeson and Jeff Jones, and performing on the band's debut album. John Rutsey left the band in 1974, due to musical differences and health problems with type 1 diabetes, and was replaced by Neil Peart. Rutsey's type 1 diabetes was believed to be a complicating factor in his death from a heart attack in 2008.",when did john rutsey died
<dbpedia:Jackson_Pollock>,Jackson Pollock,"Paul Jackson Pollock (January 28, 1912 – August 11, 1956), known professionally as Jackson Pollock, was an influential American painter and a major figure in the abstract expressionist movement. He was well known for his unique style of drip painting.During his lifetime, Pollock enjoyed considerable fame and notoriety; he was a major artist of his generation. Regarded as reclusive, he had a volatile personality, and struggled with alcoholism for most of his life.",what kind of paint did jackson pollock use
<dbpedia:John_Chrysostom>,John Chrysostom,"John Chrysostom (/ˈkrɪsəstəm, krɪˈsɒstəm/; Greek: Ἰωάννης ὁ Χρυσόστομος), c. 349 – 407, Archbishop of Constantinople, was an important Early Church Father. He is known for his  preaching and public speaking, his denunciation of abuse of authority by both ecclesiastical and political leaders, the Divine Liturgy of St. John Chrysostom, and his ascetic sensibilities.",who is john chrysostom
<dbpedia:Justus>,Justus,"Justus (occasionally Iustus; died on 10 November between 627 and 631) was the fourth Archbishop of Canterbury. He was sent from Italy to England by Pope Gregory the Great, on a mission to Christianize the Anglo-Saxons from their native paganism, probably arriving with the second group of missionaries despatched in 601.",what were the names of archbishop justus
<dbpedia:John_the_Evangelist>,John the Evangelist,"John the Evangelist (also John the Theologian or John the Divine; Greek: Εὐαγγελιστής Ἰωάννης) is traditionally regarded as the author of the Gospel of John, and other Johannine works in the New Testament — the three Epistles of John and the Book of Revelation.",what is the name of the author of the gospel
<dbpedia:Johann_Homann>,Johann Homann,"Johann Baptist Homann (20 March 1664 – 1 July 1724) was a German geographer and cartographer, who also made maps of the Americas.",who is homann
<dbpedia:Jacques_Dupuis_(priest)>,Jacques Dupuis (priest),Jacques Dupuis was a Belgian Jesuit priest.,was jacques dupuis a jesuit
<dbpedia:Jet_Li>,Jet Li,"Li Lianjie ([lì ljæ̌ntɕjɛ̌]; born 26 April 1963), better known by his English stage name Jet Li, is a Chinese film actor, film producer, martial artist, and wushu champion who was born in Beijing.  He is a naturalised Singaporean citizen.After three years of intensive training with Wu Bin, Li won his first national championship for the Beijing Wushu Team.",who is jet li
<dbpedia:Jokichi_Takamine>,Jokichi Takamine,"Jōkichi Takamine (高峰 譲吉 , Takamine Jōkichi, November 3, 1854 – July 22, 1922) was a Japanese chemist.",who is takamine
<dbpedia:John_Adams_(composer)>,John Adams (composer),"John Coolidge Adams (born February 15, 1947) is an American composer with strong roots in minimalism.His works include Short Ride in a Fast Machine (1986), On the Transmigration of Souls (2002), a choral piece commemorating the victims of the September 11, 2001 attacks (for which he won a Pulitzer Prize in 2003), and Shaker Loops (1978), a minimalist four-movement work for strings.",what is john adams work called
<dbpedia:John_Keats>,John Keats,John Keats (/ˈkiːts/; 31 October 1795 – 23 February 1821) was an English Romantic poet.,who was john keats
<dbpedia:Jones_calculus>,Jones calculus,"In optics, polarized light can be described using the Jones calculus, discovered by R. C. Jones in 1941. Polarized light is represented by a Jones vector, and linear optical elements are represented by Jones matrices.",when was the jones calculus discovered
<dbpedia:Jet_Propulsion_Laboratory>,Jet Propulsion Laboratory,"The Jet Propulsion Laboratory (JPL) is a federally funded research and development center and NASA field center located in Pasadena, California, United States.The JPL is managed by the nearby California Institute of Technology (Caltech) for NASA. The laboratory's primary function is the construction and operation of planetary robotic spacecraft, though it also conducts Earth-orbit and astronomy missions.",what does japl stand for
<dbpedia:Joual>,Joual,"Joual (French pronunciation: ​[ʒwal]) is the common name for the linguistic features of basilectal Quebec French that are associated with the French-speaking working class in Montreal which has become a symbol of national identity for a large number of artists from that area. Speakers of Quebec French from outside Montreal usually have other names to identify their speech, such as Magoua in Trois-Rivières, and Chaouin south of Trois-Rivières.",what is joual
<dbpedia:Joseph_Goebbels>,Joseph Goebbels,Paul Joseph Goebbels (English /ˈɡɜrbəlz/; German: [ˈɡœbəls]; 29 October 1897 – 1 May 1945) was a German politician and Reich Minister of Propaganda in Nazi Germany from 1933 to 1945.,when did goebbels die
<dbpedia:JANET>,JANET,"Janet is a private, UK government-funded organisation, which provides computer network and related collaborative services to UK research and education.",what is janet
<dbpedia:Jasmuheen>,Jasmuheen,"Jasmuheen (born Ellen Greve; 1957) is a proponent of ""pranic nourishment"" or breatharianism, defined as the practice of living without food or fluid of any sort. She makes appearances at New Age conferences worldwide, has hosted spiritual retreats in Thailand and has released books and audio recordings.",what is jasmuheen
<dbpedia:İsmet_İnönü>,İsmet İnönü,"Mustafa İsmet İnönü (Turkish pronunciation: [isˈmet ˈinøny]; 24 September 1884 – 25 December 1973) was a Turkish general  and statesman, who served as the second President of Turkey from 11 November 1938, the day after the death of Mustafa Kemal Atatürk, to 22 May 1950, when his Republican People's Party was defeated in Turkey's second free elections.",who was mustafa kemal
<dbpedia:Jean-Paul_Sartre>,Jean-Paul Sartre,"Jean-Paul Charles Aymard Sartre (/ˈsɑrtrə/; French: [saʁtʁ]; 21 June 1905 – 15 April 1980) was a French philosopher, playwright, novelist, political activist, biographer, and literary critic.",what was jean-paul sartres last name
<dbpedia:Joni_Mitchell>,Joni Mitchell,"Roberta Joan ""Joni"" Mitchell, CC (née Anderson; born November 7, 1943) is a Canadian singer-songwriter and painter. Mitchell began singing in small nightclubs in Saskatchewan and Western Canada and then busking in the streets and dives of Toronto. In 1965, she moved to the United States and began touring.",where is joni mitchell from
<dbpedia:Jerome_Callet>,Jerome Callet,"Jerome Callet (born April 24, 1930) is a musician, teacher and designer of brass instruments.He resides and works in Staten Island, New York. Callet, spends the bulk of his time teaching embouchure for all brass instruments having recently retired from his long-time practice of designing his own line of brass mouthpieces, trumpets, and trombones.",who is jerome callet
<dbpedia:Java_(board_game)>,Java (board game),"Java is a German-style board game designed by Wolfgang Kramer and Michael Kiesling and published in 2000 by Ravensburger in German and by Rio Grande Games in English. It is illustrated by Franz Vohwinkel.Java won the Deutscher Spiele Preis 9th place in 2001 and the Games Magazine Best Advanced Strategy Game in 2002.  It is the second game in the Mask Trilogy, following Tikal and followed by Mexica.The game provides the atmosphere of the island of Java on a hexagonal board.",what is the java game?
<dbpedia:John_Harrison>,John Harrison,"John Harrison (3 April  [O.S. 24 March] 1693– 24 March 1776) was a self-educated English carpenter and  clockmaker. He invented the marine chronometer, a long-sought after device for solving the problem of establishing the East-West position or longitude of a ship at sea, thus revolutionising and extending the possibility of safe long-distance sea travel in the Age of Sail.",who made the chronometer
<dbpedia:Rumi>,Rumi,"Jalāl ad-Dīn Muhammad Rūmī (Persian: جلال‌الدین محمد رومی‎‎), also known as Jalāl ad-Dīn Muhammad Balkhī (جلال‌الدین محمد بلخى), Mawlānā/Mevlânâ (مولانا, ""our master""), Mevlevî/Mawlawī (مولوی, ""my master""), and more popularly simply as Rumi (1207 – 17 December 1273), was a 13th-century Persian poet, jurist, Islamic scholar, theologian, and Sufi mystic.",who is rumi rumi
<dbpedia:John_Stauber>,John Stauber,"John Stauber is an American progressive writer. Stauber has co-authored five books about government propaganda, private interests and the public relations industry.",who is john stauber?
<dbpedia:Kludge>,Kludge,"A kludge (or kluge) (/klʌdʒ/, /kluːʒ/, /kluːdʒ/) is a workaround or quick-and-dirty solution that is clumsy, inelegant, inefficient, difficult to extend and hard to maintain. It is a rough synonym to the term ""jury rig."" This term is used in diverse fields such as computer science, aerospace engineering, internet slang, evolutionary neuroscience, and government.",what is kludge
<dbpedia:Julian_Jaynes>,Julian Jaynes,"Julian Jaynes (February 27, 1920 – November 21, 1997) was an American psychologist, best known for his book The Origin of Consciousness in the Breakdown of the Bicameral Mind (1976), in which he argued that ancient peoples were not conscious.Jaynes' definition of consciousness is synonymous with what philosophers call ""meta-consciousness"" or ""meta-awareness"", i.e., awareness of awareness, thoughts about thinking, desires about desires, beliefs about beliefs.",who is julian jaynes
<dbpedia:Japheth>,Japheth,"Japheth /ˈdʒeɪfɛθ/ (Hebrew: יָפֶת/יֶפֶת Yapheth , Modern Hebrew: Yefet ; Greek: Ἰάφεθ Iapheth ; Latin: Iafeth or Iapetus ; Arabic: يافث‎) is one of the sons of Noah in the Abrahamic tradition. In Arabic citations, his name is normally given as Yafeth bin Nuh ""\Japheth, son of Noah"").In Biblical as well as Quranic tradition, Japheth is considered to be the progenitor of European, and some Asian, peoples.",what is the meaning of japheth
<dbpedia:Jim_Flynn_(academic)>,Jim Flynn (academic),"James Robert Flynn PhD FRSNZ (born 1934), a.k.a. Jim Flynn, Emeritus Professor of Political Studies at the University of Otago in Dunedin, New Zealand, researches intelligence and is famous for his publications about the continued year-after-year increase of IQ scores throughout the world, which is now referred to as the Flynn effect. The Flynn Effect is the subject of a multiple author monograph published by the American Psychological Association in 1998.",who is jim flynn
<dbpedia:Judy_Blume>,Judy Blume,"Judy Blume (born Judith Sussman on February 12, 1938) is an American writer. Her novels for children and young adults have exceeded sales of 80 million and have been translated into 32 languages.",when was judy blume born
<dbpedia:Book_of_Jarom>,Book of Jarom,"The Book of Jarom is one of the books that make up the Book of Mormon. According to the text it was written by Jarom, a descendant of the prophet Nephi.The Book of Jarom is very short, only fifteen verses covering the years 399-361 BCE. Jarom was the son of Enos, and the grandson of Jacob, and the great-grandson of Lehi. He kept the commandment of his father to preserve the plates, and in turn he commanded his son Omni to preserve the plates.",who wrote book of jarom
<dbpedia:Jamiroquai>,Jamiroquai,"Jamiroquai /dʒəˈmɪrɵkwaɪ/ are a British funk and acid jazz band formed in 1992. Fronted by lead singer Jay Kay, Jamiroquai were initially the most prominent component in the London-based funk/acid jazz movement, alongside groups such as Incognito, the James Taylor Quartet, and the Brand New Heavies. Subsequent albums have explored other musical directions such as pop, rock, and electronica.",when was jamiroquai formed
<dbpedia:Jewish_Defense_League>,Jewish Defense League,"The Jewish Defense League (JDL) is a Jewish far-right religious-political organization in the United States, whose stated goal is to ""protect Jews from antisemitism by whatever means necessary"". While the group asserts that it ""unequivocally condemns terrorism"" and states that it has a ""strict no-tolerance policy against terrorism and other felonious acts"", it was classified as ""a right-wing terrorist group"" by the FBI in 2001 and is considered a hate group by the Southern Poverty Law Center.",what does jewish defense league stand for
<dbpedia:Frost_(rapper)>,Frost (rapper),"Arturo Molina, Jr. (born May 31, 1964), better known as Frost (originally Kid Frost), is an American hip hop recording artist. He is from Windsor, California. He is also the father of record producer Scoop DeVille.",when was frost born
<dbpedia:Kennedy_Space_Center>,Kennedy Space Center,"The John F. Kennedy Space Center (KSC) is the National Aeronautics and Space Administration's Launch Operations Center which supports Launch Complex 39 (LC-39), originally built for the Saturn V, the largest and most powerful operational launch vehicle in history, for the Apollo manned Moon landing program proposed by President John F. Kennedy. It was named in honor of Kennedy by his successor, President Lyndon B.",what is a ksc
